YEAR,MO,DY,ALLSKY_SFC_UV_INDEX,WS10M,T2M_MAX,T2M_MIN,PRECTOTCORR,QV2M,RH2M,PS,WD10M,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,WS2M,T2MDEW,PSC,WSC,Climate_Condition
2024,4,7,3.41,1.09,36.27,23.19,0.01,15.75,65.06,93.03,276.44,6.34,6.88,0.41,19.55,100.78,0.93,Hot
2024,4,8,3.6,0.88,37.25,23.29,1.88,15.75,64.44,93.08,256.94,6.7,7.08,0.36,19.61,100.82,0.78,Hot
2024,4,9,3.48,0.86,36.68,22.23,1.27,14.47,61.75,93.11,117.81,6.45,6.94,0.26,18.12,100.87,1.03,Hot
2024,4,10,3.3,0.95,36.31,21.48,2.93,14.1,61.19,93.13,132.5,6.62,6.88,0.34,17.69,100.89,0.96,Hot
2024,4,11,3.19,0.7,36.15,21.81,3.87,15.56,66.94,93.17,111.94,6.06,6.99,0.27,19.48,100.95,0.82,Hot
2024,4,12,2.62,0.91,33.51,22.1,13.06,16.85,76.5,93.17,121.69,5.27,6.47,0.27,20.96,100.99,1.03,Rainy
2024,4,13,3.0,0.91,33.33,21.62,3.74,15.69,71.88,93.19,127.06,5.83,6.87,0.28,19.64,101.01,1.03,Hot
2024,4,14,2.91,0.98,34.94,21.4,1.65,14.65,65.62,93.19,88.69,6.17,7.01,0.25,18.52,100.98,1.17,Hot
2024,4,15,3.18,1.09,35.76,20.7,0.04,13.92,60.88,93.23,97.19,6.91,7.24,0.27,17.69,101.02,1.32,Hot
2024,4,16,2.61,0.98,36.13,21.9,0.0,14.53,61.88,93.2,136.94,5.75,7.05,0.34,18.23,100.97,1.02,Hot
2024,4,17,2.88,1.13,35.09,23.62,0.0,17.4,71.94,93.17,262.56,6.15,7.06,0.42,21.42,100.94,0.91,Hot
2024,4,18,2.4,1.38,32.61,24.28,0.0,17.88,75.88,93.09,280.62,5.52,6.56,0.43,21.95,100.88,1.21,Hot
2024,4,19,2.48,1.46,31.33,24.01,0.0,17.76,76.0,92.97,278.81,5.3,6.48,0.44,21.8,100.76,1.28,Hot
2024,4,20,2.48,1.16,33.86,23.9,0.03,16.66,69.94,92.95,292.69,4.98,6.74,0.4,20.67,100.71,1.07,Hot
2024,4,21,2.66,1.05,35.57,23.3,2.0,16.48,68.5,92.98,293.38,5.88,6.87,0.38,20.48,100.73,0.88,Hot
2024,4,22,3.3,0.95,31.32,23.85,3.15,17.88,78.69,93.09,275.88,6.28,7.05,0.35,21.83,100.89,0.85,Hot
2024,4,23,3.48,0.94,34.1,23.3,1.41,16.85,72.19,93.0,276.5,6.63,7.18,0.3,20.85,100.77,0.89,Hot
2024,4,24,3.39,0.57,34.59,23.33,1.58,15.75,68.56,92.96,207.94,5.82,7.39,0.25,19.5,100.73,0.56,Hot
2024,4,25,3.52,1.01,35.47,22.72,0.28,14.95,64.88,92.94,170.81,6.58,6.96,0.32,18.68,100.7,1.12,Hot
2024,4,26,3.16,0.85,36.84,22.44,0.01,14.89,62.88,92.94,214.62,6.27,6.83,0.35,18.55,100.68,0.85,Hot
2024,4,27,3.38,0.74,37.55,23.26,0.02,15.5,62.75,92.92,209.25,6.8,7.25,0.38,19.19,100.64,0.75,Hot
2024,4,28,3.72,0.75,37.69,22.87,0.03,15.32,61.56,92.98,184.19,7.01,7.3,0.34,19.13,100.7,0.74,Hot
2024,4,29,3.47,0.89,37.96,23.08,0.06,14.95,60.5,93.06,276.81,6.86,7.26,0.4,18.58,100.78,0.78,Hot
2024,4,30,2.8,1.41,35.84,23.8,2.41,17.09,70.12,93.03,281.5,6.01,6.94,0.47,21.13,100.78,1.13,Hot
2024,5,1,2.9,1.46,35.21,23.66,1.43,18.13,74.5,92.88,281.81,5.96,7.1,0.47,22.1,100.63,1.28,Hot
2024,5,2,3.02,1.36,35.56,24.61,0.0,17.94,70.38,92.9,270.25,6.29,6.88,0.42,21.9,100.62,1.12,Hot
2024,5,3,2.43,1.73,33.32,25.03,0.0,18.74,75.38,93.01,272.75,5.26,6.68,0.49,22.71,100.77,1.48,Hot
2024,5,4,2.64,1.69,34.83,23.79,0.08,15.99,65.5,93.05,287.75,5.39,6.57,0.51,20.08,100.81,1.41,Hot
2024,5,5,2.73,1.67,34.05,22.19,1.39,16.6,71.25,92.99,281.56,5.93,6.67,0.48,20.76,100.77,1.42,Hot
2024,5,6,3.02,1.73,34.59,23.19,0.3,16.11,67.5,93.02,275.94,6.45,6.97,0.5,20.24,100.78,1.46,Hot
